 
1    	30	35
2    	91	3
3    	64	5
4    	27	64
5    	45	2
6    	80	34
7    	18	87
8    	11	44
9    	87	5
10    	48	6
11    	7	28
12    	81	83
13    	73	5
14    	80	6
15    	48	55
16    	11	66
17    	20	46
18    	83	97
19    	32	2
20    	67	4
21    	22	87
22    	41	38
23    	96	28
24    	50	17
25    	30	57
26    	72	49
27    	52	53
28    	12	45
29    	28	84
30    	59	44
31    	5	83
32    	4	65
33    	47	30
34    	34	87
35    	66	23
36    	32	29
37    	50	96
38    	35	13
39    	31	57
40    	26	19
41    	48	83
42    	61	57
43    	65	69
44    	97	82
45    	27	9
46    	100	69
47    	98	6
48    	61	75
49    	61	41
50    	16	81
51    	3	34
52    	94	53
53    	74	72
54    	38	13
55    	47	32
56    	99	69
57    	49	1
58    	13	51
59    	96	71
60    	37	97
61    	24	87
62    	40	5
63    	65	66
64    	27	14
65    	26	41
66    	39	31
67    	47	52
68    	72	19
69    	73	83
70    	58	89
71    	88	51
72    	38	24
73    	51	56
74    	83	71
75    	18	84
76    	66	71
77    	1	73
78    	42	54
79    	14	69
80    	91	20
81    	95	41
82    	86	60
83    	68	13
84    	72	43
85    	55	11
86    	72	87
87    	71	93
88    	53	94
89    	76	37
90    	22	63
91    	52	3
92    	25	1
93    	31	99
94    	35	72
95    	36	64
96    	52	67
97    	21	16
98    	71	25
99    	49	1
100    	2	55
101    	93	21
102    	91	14
103    	81	34
104    	18	68
105    	86	84
106    	59	34
107    	46	32
108    	41	62
109    	1	88
110    	27	30
111    	4	10
112    	8	21
113    	46	9
114    	61	79
115    	18	96
116    	24	98
117    	55	40
118    	19	4
119    	75	92
120    	28	11
121    	40	17
122    	91	38
123    	70	46
124    	53	53
125    	62	19
126    	15	7
127    	90	4
128    	5	83
129    	27	3
130    	37	88
131    	22	78
132    	78	33
133    	85	17
134    	39	49
135    	30	45
136    	60	72
137    	96	55
138    	9	26
139    	76	54
140    	52	70
141    	44	79
142    	62	73
143    	55	9
144    	6	81
145    	32	94
146    	7	33
147    	78	48
148    	36	89
149    	64	87
150    	90	46
151    	92	73
152    	58	61
153    	26	62
154    	27	24
155    	67	88
156    	63	56
157    	93	70
158    	83	97
159    	75	22
160    	24	44
161    	84	26
162    	59	69
163    	76	14
164    	36	27
165    	33	19
166    	75	89
167    	79	78
168    	28	44
169    	86	75
170    	58	79
171    	31	96
172    	36	78
173    	73	97
174    	89	51
175    	31	53
176    	72	24
177    	74	26
178    	74	79
179    	57	81
180    	42	52
181    	93	72
182    	50	85
183    	84	30
184    	55	97
185    	93	66
186    	85	32
187    	88	51
188    	96	91
189    	92	12
190    	42	42
191    	29	54
192    	79	5
193    	8	1
194    	66	73
195    	41	14
196    	84	23
197    	61	28
198    	60	22
199    	22	83
200    	30	88
201    	59	84
202    	83	61
203    	1	70
204    	85	17
205    	93	44
206    	68	33
207    	99	37
208    	18	55
209    	42	40
210    	99	83
211    	32	11
212    	29	31
213    	15	36
214    	46	45
215    	85	25
216    	99	8
217    	27	26
218    	35	40
219    	96	56
220    	66	17
221    	68	73
222    	86	90
223    	14	61
224    	11	69
225    	40	71
226    	16	12
227    	66	32
228    	24	64
229    	85	36
230    	95	4
231    	42	94
232    	19	35
233    	75	97
234    	96	84
